Headlines,negative,positive,neutral,overall
"Over 1,200 paramilitary troopers died by suicide in last 10 years: govt",0.448,0.0,0.552,-0.8442
BJP only party that respects all former PMs: Narendra Modi,0.0,0.385,0.615,0.6124
The fishing scheme that landed VIP leader Mukesh Sahani in troubled waters,0.176,0.237,0.587,0.2577
"‘Mega Science Vision Document-2035 to make students industry-ready, employable’",0.0,0.2,0.8,0.25
"Divided at the top and weak within, Odisha Congress’s battle for survival continues",0.318,0.104,0.578,-0.5719
"Newsmaker: 13 years an outsider, the curious case of Shashi Tharoor",0.0,0.187,0.813,0.3182
"Lakhimpur Kheri case: No attack on witness, altercation was over Holi colours, UP govt tells SC",0.275,0.0,0.725,-0.6486
SC order on developmental projects applicable not just to SilverLine: Kerala HC,0.0,0.0,1.0,0.0
Kerala HC denies bail to prime accused in 2017 actress assault case,0.494,0.0,0.506,-0.8316
"10 BKU members arrested for rioting, Rakesh Tikait protests",0.417,0.0,0.583,-0.6124
29 cases of illegal import of e-waste detected since 2019: Centre tells Parliament,0.231,0.0,0.769,-0.5574
"Bharat Bandh: Despite court intervention, attendance low in Kerala govt offices on day 2",0.149,0.0,0.851,-0.2732
PM Modi asks BJP MPs to highlight welfare measures in fortnight dedicated to ‘social justice’,0.0,0.293,0.707,0.6597
"Once a weapon in its arsenal, bandhs now a no-no for TMC",0.196,0.0,0.804,-0.296
Bengal Assembly pandemonium: A look at the other infamous scenes,0.0,0.0,1.0,0.0
"Birth anniversary of Lingayat seer likely to be show of strength in Karnataka BJP for sidelined Yediyurappa, son",0.0,0.158,0.842,0.4939
Nitish Kumar joining Rajya Sabha? Close aide rubbishes rumours,0.0,0.0,1.0,0.0
"Exclusive | Congress will form govt in Goa within 10-15 months, says leader Michael Lobo",0.0,0.103,0.897,0.128
Two coins in two bowls: Read what PM Modi said at Pariksha Pe Charcha,0.0,0.0,1.0,0.0
India staying in touch with Russia beneficial for both nations: Jaishankar,0.0,0.225,0.775,0.4404
DMK MP to move private member bill seeking fixed time limit for Governor to decide on bills,0.0,0.0,1.0,0.0
"Suman Paul, sole TMC corporator in Tripura, joins BJP",0.0,0.0,1.0,0.0
TMC mocks BJP's 'acche din' with Oscars slapgate meme on April Fool's day,0.2,0.0,0.8,-0.4588
"Patient bitten by rat in Telangana hospital, 2 doctors suspended",0.279,0.0,0.721,-0.4767
"Tension in Telangana's Jogulamba Gadwal, Ambedkar statue set on fire as two groups clash",0.281,0.0,0.719,-0.5719
Will strip you off uniform: 2 BJP leaders threaten police in Bengal's Bankura,0.191,0.0,0.809,-0.3818
19-year-old student dies by suicide over caste-based harassment by college authorities in TN,0.421,0.0,0.579,-0.8402
"Delhi HC asks police to preserve CCTV footage, file status report on vandalism outside CM Kejriwal's residence",0.0,0.0,1.0,0.0
Pages,0.0,0.0,1.0,0.0
ED arrests Nagpur lawyer who filed plea against Fadnavis in money laundering case,0.195,0.0,0.805,-0.4404
"Free electricity, increased health insurance amount: Rajasthan govt announces slew of public welfare measures",0.0,0.31,0.69,0.6597
Former J&K minister Babu Singh's name comes up in hawala case,0.0,0.0,1.0,0.0
"This is language of coercion, not diplomacy: Former UN envoy on US concern over India-Russia trade",0.0,0.0,1.0,0.0
"Amid Ukraine war, Russian Foreign Minister Sergey Lavrov arrives in New Delhi",0.262,0.0,0.738,-0.5994
"Rajya Sabha polls: NDA bags 2 seats in Assam, 1 in Tripura; Congress gets 1 in Kerala",0.0,0.0,1.0,0.0
"Aviation turbine fuel price hiked to all-time high of Rs 2,258.54 per kilolitre",0.0,0.0,1.0,0.0
Punjab govt paid pest-affected farmers less than those whose crops were razed for CM swearing-in: Oppn,0.0,0.0,1.0,0.0
Medical oath to be replaced by Charak Shapath? National Medical Commission clarifies,0.0,0.147,0.853,0.2263
Today's News LIVE Updates | Nepal CM Deuba meets BJP chief JP Nadda at party HQ in Delhi,0.0,0.259,0.741,0.6408
PM Modi assured appropriate action on Tamil Nadu’s demands: CM Stalin,0.0,0.2,0.8,0.3612
Bengal bypolls: TMC files complaint with EC against BJP candidate Agnimitra Paul,0.167,0.0,0.833,-0.296
Pages,0.0,0.0,1.0,0.0
"Bombay HC directs Rakesh Wadhawan, accused in PMC bank fraud case, to be shifted back to KEM hospital",0.273,0.0,0.727,-0.7184
Malegaon blast case: Bombay HC rejects Lt Col Purohit’s appeal seeking a stay on the trial,0.186,0.0,0.814,-0.4939
NARI-ICMR moves ahead with phase 3 trials for world’s first TB vaccine,0.0,0.0,1.0,0.0
"Russia won't come to India’s defence if China violates LAC again, says US Deputy NSA",0.186,0.079,0.734,-0.4404
Intend to remain engaged with China on issue of trans-border rivers to safeguard our interests: Govt,0.0,0.36,0.64,0.743
FIR against ministers for brandishing swords: Maharashtra chief secretary to look into matter,0.0,0.084,0.916,0.0258
"I-T dept uncovers irregularities to the tune of Rs 800 crore after raids on Hero Motocorp, others",0.0,0.184,0.816,0.5574
"EAM Jaishankar, UK counterpart hold bilateral talks, Ukraine war high on agenda",0.262,0.0,0.738,-0.5994
Police arrests woman who hurled petrol bomb at CRPF camp in J&K's Sopore,0.357,0.0,0.643,-0.7269
Clubhouse app case: 18-year-old accused granted bail by Mumbai court,0.18,0.164,0.656,-0.0516
Assets worth Rs 216 crore of Chennai firm attached by ED for FEMA violations,0.189,0.2,0.611,-0.2023
"Maoists failing due to sustained ops, development schemes, say ex-IPS officers",0.248,0.0,0.752,-0.5106
Pages,0.0,0.0,1.0,0.0
"Maoists failing due to sustained ops, development schemes, say ex-IPS officers",0.248,0.0,0.752,-0.5106
"Gujarat police entered party office in Ahmedabad without permission, alleges Congress",0.0,0.213,0.787,0.4019
Centre gives nod for six reactors at Andhra's Kovvada nuclear power plant,0.0,0.0,1.0,0.0
Russian Foreign Minister arrives in Delhi amid Ukraine war,0.328,0.0,0.672,-0.5994
"Wife's suspected extra-marital affair led to Ahmedabad quadruple murder, reveals police",0.423,0.0,0.577,-0.765
"Congress high command's olive branch, quelling a rebellion or mere tokenism?",0.143,0.0,0.857,-0.128
"Company withdraws from Kerala SilverLine project, K-Rail claims it was sacked",0.0,0.0,1.0,0.0
Bombay HC upholds order asking divorced woman to pay alimony to ex-husband,0.113,0.0,0.887,-0.1027
"Kerala govt changes liquor policy, allows IT parks to serve liquor",0.0,0.0,1.0,0.0
Bengal lifts all Covid curbs as cases dip,0.0,0.0,1.0,0.0
Actor Dileep accuses cops of harassing his 87-year-old mother,0.457,0.0,0.543,-0.7096
"50 Indians still in Ukraine, only few want to return: Centre in Rajya Sabha",0.0,0.091,0.909,0.0772
Pages,0.0,0.0,1.0,0.0
Two YSRCP councillors come to blows in Andhra Pradesh | Video,0.0,0.0,1.0,0.0
Hyderabad: Special trains to be arranged for Jaipur and Gorakhpur from April,0.0,0.197,0.803,0.4019
One religion cannot impose its ideology on another: K'taka minister on halal meat row,0.0,0.127,0.873,0.2235
"6 MLAs, 9 municipal councillors skip Congress' meeting over Himachal Pradesh civic poll",0.0,0.0,1.0,0.0
Jammu-Srinagar national highway reopens for vehicular traffic,0.0,0.0,1.0,0.0
Bajrang Dal activist murder: K'taka court orders probe against minister Eshwarappa for provocative speech,0.266,0.0,0.734,-0.6908
"India, France conduct joint naval exercise Varuna in Arabian sea",0.0,0.0,1.0,0.0
"Have right to know if my daughter is dead or alive, says MP man on hunger strike",0.333,0.111,0.556,-0.6369
"West Bengal: Woman, daughter held for strangling man to death in Howrah",0.262,0.0,0.738,-0.5994
NCB gets another 60 days to file chargesheet in drugs-on-cruise case,0.0,0.0,1.0,0.0
Telangana youth arrested for rape and murder of class 10 girl,0.61,0.0,0.39,-0.926
Telangana: Congress to counter Asaduddin Owaisi’s party AIMIM on its home turf,0.0,0.197,0.803,0.4019
Pages,0.0,0.0,1.0,0.0
"Through Thick & Thin: India, Russia Recall 'Sustained' Ties as Jaishankar Holds Talks with Russian Counterpart",0.0,0.0,1.0,0.0
"News18 Afternoon Digest: Don't Blame India for Importing Russian Oil, Says Pak PM, Karnataka Halal Row Gains Steam & Other Top Stories",0.0,0.257,0.743,0.6412
"AFSPA: Not Insurgency, Manipur Should Be Known for Development, Says Professor Who Witnessed Unrest",0.0,0.0,1.0,0.0
4 Pairs of Trains Connecting Delhi With 5 Other States to Have Additional Coaches. List,0.0,0.0,1.0,0.0
"AFSPA Now Applicable Fully Only in 31 Districts, Partially in 12 Districts of 4 Northeast States",0.0,0.0,1.0,0.0
"My Russia Trip Irked America, Pak Oppn Has Money Stacked in US Bank, Says Imran Khan | Top Quotes",0.0,0.096,0.904,0.2023
"AFSPA Coverage Reduced: From Maximum Incidents to Minimum Casualties, Here's the Ground Reality",0.0,0.0,1.0,0.0
"Karnataka Halal Row: As Issue Reaches HC, BJP Calls for 'Solution', A Look at Why There's a Call for Boycott",0.118,0.062,0.821,-0.2732
SC Dismisses Maha Govt's Plea Seeking Transfer of Anil Deshmukh Case to SIT,0.0,0.0,1.0,0.0
North Western Railway to Operate Weekly Summer Special Trains; Check List,0.0,0.213,0.787,0.4019
"'How Did Protesters Reach CM's Doors?' Delhi HC Raps Police, Orders to Preserve CCTV Footage",0.119,0.069,0.812,-0.2023
"India Logs 1,335 New Covid-19 Cases, Active Infections Dip to 13,672",0.0,0.213,0.787,0.4019
"Lunch with Modi, Visit to BJP Office, a Day in Benaras: On Maiden Trip to India, Nepal PM Deuba's Itinerary",0.0,0.0,1.0,0.0
Railways Cancels Trains on Jodhpur-Jaisalmer Rail Route Due to Maintenance Work,0.16,0.0,0.84,-0.2263
3 Trains Across 6 States to Get Extra Coaches. Check List,0.0,0.0,1.0,0.0
"One Consumes Poison, Another Faints After Hearing Bihar Board Results",0.28,0.0,0.72,-0.5423
"PM Modi Greets People on Utkala Dibasa; Odisha Gave World a Message of Peace and Love, Says President Kovind",0.0,0.383,0.617,0.8519
China Calls for Keeping Ties With India 'On Right Course' After US Remark on Moscow-Beijing Closeness,0.0,0.0,1.0,0.0
"Uttarakhand Doctor Resigns over 'Harassment' from Health Secretary, His Wife",0.204,0.0,0.796,-0.3182
Militant Affiliated to LeT Killed in Shopian Encounter; Explosives Found in Raid in Kishtwar,0.257,0.0,0.743,-0.6705
"India Lifts Covid Curbs, Maharashtra Breathes Free of Masks, No 'Fine' in Delhi Too: All You Need to Know",0.098,0.147,0.756,0.2732
Tourists Throng Banks of Dal Lake as Asia's Largest Tulip Garden Opens for Visitors in J&K's Srinagar | IN PHOTOS,0.0,0.0,1.0,0.0
"'Fear Over Residents Sheltering Extremists': As Assam Celebrates Reduced AFSPA, Some Tread with Caution",0.169,0.196,0.635,0.128
"India, UK Resolve to Retain Strategic Focus on Indo-Pacific",0.0,0.245,0.755,0.3818
India Signs Pact with UNWFP for Distribution of Aid in Afghanistan,0.0,0.0,1.0,0.0
"Unable to Clear Rouble Payments, India Orders Indigenous Weapons to Use Up Defence Capital Budget",0.153,0.212,0.635,0.0258
Uttar Pradesh Village Police Seeks Surrender of Rape Accused with Bulldozer Threat,0.534,0.0,0.466,-0.8834
Birbhum Killings: Two More Held for TMC Panchayat Official's Murder,0.535,0.0,0.465,-0.8807
Cal HC Asks Bengal Govt to Submit Probe Progress Report in Minor Girl Gangrape Case,0.0,0.167,0.833,0.4215
"J&K: Burqa-clad Woman, Who Hurled Petrol Bomb at CRPF Bunker, Arrested",0.412,0.0,0.588,-0.743
"Heatwave: Northwest, Central India to Experience Above-normal Max Temp in April, Says IMD",0.0,0.0,1.0,0.0
Will Give Permission to Re-open Nizamuddin Markaz for Ramzan: Delhi Police to HC,0.0,0.0,1.0,0.0
Speculations Rife on Nitish Kumar Moving to Delhi as Next Vice President,0.0,0.0,1.0,0.0
"6 Killed, 7 Injured as Car Falls into Gorge in J&K's Poonch",0.474,0.0,0.526,-0.802
"Right Time to Lift Mask Mandate, but Vulnerable Groups Must Take Precaution: Experts",0.164,0.0,0.836,-0.3291
"Around 40-50 Indians Still in Ukraine, of Which Only Few Willing to Return, Says Govt",0.0,0.0,1.0,0.0
Nepal PM Deuba to Travel to India on Friday on His Maiden Visit with 50-member Delegation,0.0,0.0,1.0,0.0
Ukraine Crisis Shattered European Security; Must Cut Dependence on Russia; India Trusted Partner: Liz Truss,0.375,0.222,0.403,-0.5859
Mask or No Mask? Know What Changes from Today As Covid-19 Restrictions End in India,0.136,0.0,0.864,-0.296
NIA Announces Rs 10 Lakh Reward Each on Four Wanted Terrorists of LeT Offshoot TRF,0.197,0.178,0.625,-0.1027
"Russian FM Sergey Lavrov Lands in India for Official Visit; Will Meet PM Modi, Jaishankar on Friday",0.0,0.0,1.0,0.0
"Breathing Easy: Maha, Bengal Dump All Covid Curbs, Delhi Makes Mask Optional; Details Here",0.149,0.166,0.686,0.0772
"‘Historic Move, Will Celebrate it in Big Way’: People of Manipur Hail Modi, Shah’s AFSPA Decision",0.0,0.263,0.737,0.6124
West Bengal Lifts All Covid-related Curbs as Cases Dip,0.0,0.0,1.0,0.0
"15th Round of India, China Talks to Resolve Ladakh Standoff 'Positive and Constructive': Chinese Military",0.0,0.323,0.677,0.7351
Delhi Decides to Do Away with Fine for Not Wearing Face Masks at Public Places: Sources,0.0,0.107,0.893,0.2023
"MP: Minor Girl Raped, Forced to Undergo Abortion; Doctor, Accused Among 4 Held",0.521,0.0,0.479,-0.8689
"VIL Board Okays Share Allotment to 3 Promoter Group Cos to Raise Rs 4,500 Cr",0.0,0.306,0.694,0.6486
"Delhi Among 31 Non-attainment Cities with Increased PM10 Levels in 2020-21, Govt Tells RS",0.0,0.139,0.861,0.2732
Over 20 Houses Damaged in Two Fire Incidents in Srinagar: Officials,0.371,0.0,0.629,-0.6486
These Humsafar Express Trains Are Soon Going To Have a Revised Timetable,0.0,0.0,1.0,0.0
China Gaining Leverage Over Russia Inimical to India: US Deputy NSA Daleep Singh,0.0,0.189,0.811,0.4215
"Railways to Run Daily Special Trains Connecting Cities in UP, Haryana And Punjab",0.0,0.184,0.816,0.4019
"UP Qawwal in Trouble for Anti-National Remarks, MP Police Teams Reach Kanpur to Nab Him",0.161,0.065,0.774,-0.3818
"News18 Evening Digest: Disturbed Areas Under AFSPA in Assam, Nagaland, Manipur Reduced & Other Top Stories",0.149,0.103,0.747,-0.2023
"Printed Mask On, 7-year-old Student Petitions Against Stray Dog Menace in Karur",0.225,0.0,0.775,-0.4939
Maharashtra Decides to do Away With all Covid-19 Curbs As Cases Wane; Mask Use Now Optional,0.0,0.0,1.0,0.0
"Scorched Earth: India Hit by Record Heatwave in Mar, Rainfall Deficit Widens to 72%; No Respite Soon",0.246,0.0,0.754,-0.5994
AFSPA: A British-era Remnant With Unbridled Powers; Here’s a Complete Low-down,0.0,0.0,1.0,0.0
"Rajasthan Man Dies by Suicide After Being Beaten Up by Police, ASI Suspended",0.51,0.0,0.49,-0.886
Terror Groups Using Women Over Ground Workers to Carry Out Attacks in Kashmir: Officials,0.344,0.0,0.656,-0.743
"NSA Doval Holds Talks With Dutch Counterpart Leeuwen, Discusses Bilateral, Global Issues",0.0,0.0,1.0,0.0
BJP Leader Among Two Held for Abetting Suicide of Doctor in Rajasthan's Dausa,0.273,0.0,0.727,-0.6705
"India, France Begin Five-day Mega Naval Wargame in Arabian Sea",0.0,0.0,1.0,0.0
"Unnao Rape Case: HC Seeks CBI, Victim's Response on BJP MLA Sengar's Bail Plea",0.266,0.0,0.734,-0.6908
Aryan Khan Case: NCB Gets 60 More Days from Mumbai Court to File Chargesheet,0.0,0.0,1.0,0.0
"Indian Railways to Resume Bedroll Service on 11 Trains from Indore, Mhow",0.0,0.0,1.0,0.0
"Disturbed Areas Under AFSPA in Assam, Nagaland, Manipur Reduced, Says Amit Shah",0.191,0.0,0.809,-0.3818
West Bengal Lottery Result 2022: Dear Bangabhumi Bhagirathi Result for March 31 at 4 PM; Check Details,0.0,0.148,0.852,0.3818
Three Indian Fishermen from Tamil Nadu Arrested by Lankan Navy,0.256,0.0,0.744,-0.4767
Sketches of 2 Suspects in Delhi IED Recovery Case Prepared; Special Cell Teams on Lookout,0.133,0.256,0.611,0.296
Shillong Lottery Result 2022: Check Winning Numbers for March 31 Morning Teer and Teer Game,0.0,0.195,0.805,0.5267
"From the Taliban Takeover to Lockdowns in India, How Bhilwara’s Textile Industry Survived 2021",0.0,0.202,0.798,0.5106
Police File Complaint After Triple Talaq Crusader Nida Khan Alleges Being 'Heckled' By Relatives 'To Quit BJP',0.121,0.0,0.879,-0.296
"Delhi, Maharashtra Sizzle as Mercury Soars, IMD Predicts Heatwave in Central, West India for Next 4-5 Days",0.0,0.0,1.0,0.0
"UP Qawwal Booked for Anti-national Remarks in Rewa, MP Police to Arrest Accused Soon",0.277,0.0,0.723,-0.5574
"With Nil Active Cases, Puducherry Becomes Covid-free",0.0,0.31,0.69,0.4019
'Biased Approach': Karnataka HC Slams POCSO Court for Acquitting Rape-accused Father,0.157,0.172,0.672,0.0516
Journalist Rana Ayyub Moves Delhi High Court Against Travel Restrictions,0.0,0.0,1.0,0.0
Maha: ED Searches Residence of Nagpur-based Lawyer Who Filed Petitions Against Fadnavis,0.0,0.0,1.0,0.0
"Advocate Satish Uke, in News for Petitions Against BJP's Devendra Fadnavis, Detained After ED Raids",0.162,0.0,0.838,-0.4019
LIVE Kerala Lottery Result 2022: Check Karunya Plus KN-414 Winning Numbers for March 31; First Prize Rs 80 Lakh!,0.0,0.291,0.709,0.7901
"India Logs 1,225 Fresh Covid-19 Cases, 28 Deaths",0.0,0.247,0.753,0.3182
"News18 Afternoon Digest: Delhi Draws Distinction Between India, China's Stand on Russia As European Leaders Come Calling & Other Top Stories",0.0,0.087,0.913,0.2023
PM Narendra Modi Likely to Flag Off First India-Nepal Passenger Train on April 2,0.0,0.0,1.0,0.0
"'Mahapaapi, Don't Consider Them Indians': Cornered Over Hooch Deaths, Nitish Kumar Clarifies on Relief",0.116,0.276,0.608,0.4404
"Kafeel Khan Booked for 'Obstructing Govt Work', SP Candidate Claims Case 'Politically Motivated'",0.0,0.2,0.8,0.4588
Face of Gurjar Reservation Movement Col Kirori Singh Bainsla Passes Away After Long Illness,0.172,0.0,0.828,-0.4019
"Man Held for Raping, Killing Pregnant Goat in Kerala's Kasargod",0.535,0.0,0.465,-0.8807
Chorus for Population Control Policy Grows in Karnataka But Here’s Why It Could Be Disastrous,0.218,0.0,0.782,-0.5994
"European Leaders Come Calling Over Ukraine, Delhi Draws Distinction Between India, China’s Russia Stand",0.0,0.0,1.0,0.0
"Rajasthan Doctor Suicide Case: Dausa SP Removed, SHO Suspended",0.521,0.0,0.479,-0.8225
"Sariska Fire Shrinks But With 'Burning' Queries on Climate Change, Status of Tigers: Read All Details",0.138,0.0,0.862,-0.34
"Development on Agenda, Yogi Govt 2.0 to Organise Ground-breaking Ceremony With Investment Target of Rs 10 Lakh Cr",0.0,0.0,1.0,0.0
Indian Railways’ PSU RailTel to Build Modern Signalling Projects Worth Rs 224 Crore on Northern Railway Zone,0.0,0.106,0.894,0.2263
"Defence Ties, 'Reducing Dependence on Russia' Focus of Liz Truss' Visit to India, Says UK",0.0,0.091,0.909,0.1027
"Use Bulldozer to Demolish House of Rape Accused, Shivraj Chouhan Instructs Rewa SP",0.385,0.0,0.615,-0.7845
"Regional Sources Bigger Contributor than Stubble Smoke to Delhi-NCR Winter Pollution, Claims CSE",0.0,0.0,1.0,0.0
"Capital Crime: Rape Tripled, Kidnapping of Women Doubled in Delhi in Last 10 Years, Says Police Data",0.353,0.0,0.647,-0.8481
"Shortfall of Beds, Doctors, Test Availability: CAG Report Highlights Huge Gaps in Bihar's Medical Facilities",0.0,0.141,0.859,0.3182
Save the Soil | Watch Sadhguru's Journey So Far From the Carribean Islands to London,0.0,0.198,0.802,0.4939
Assam Looks to Get ahead of Rest of India: CM Himanta Stresses on Need for Separate Time Zone,0.15,0.0,0.85,-0.4588
Sufficient Reasons And Causes for Declaring Zakir Naik's IRF An Unlawful Association: UAPA Tribunal,0.0,0.0,1.0,0.0
"India, UK Committed to Delivering Balanced FTA by Year-end, Says Foreign Secy Shringla",0.0,0.149,0.851,0.2732
"NHRC Notice to Delhi Govt, Police Chief Over Death of Four Men in Sewer Line",0.218,0.0,0.782,-0.5994
"Severe Heatwave Persists in Parts of Delhi, No Respite in Sight",0.348,0.0,0.652,-0.5859
MP: Religious Leader Among Two Held for Raping Girl; CM Directs Officials to Raze Properties of Accused,0.318,0.0,0.682,-0.7906
Left Family 7 Years Ago Over Fear of Rejection: TN Transwoman Now Reinstated As Panchayat Secretary,0.34,0.0,0.66,-0.7717
Stopped in Tracks: Another 'non-Hindu' Bharatanatyam Dancer Barred from Performing in Kerala Temple,0.137,0.0,0.863,-0.2263
"Maharashtra Power Crisis: Next 2 Days Crucial as State Didn't Get Enough Coal Supply, Says Minister",0.227,0.0,0.773,-0.6249
"NIA Conducts Searches in 2021 Ludhiana Court Blast Case, Incriminating Documents Seized",0.0,0.0,1.0,0.0
"Another Witness Turns Hostile in Malegaon Blast Trial, 20th So Far",0.206,0.0,0.794,-0.3818
"Ukraine Crisis Could Figure in Prez Kovind's Talks in Netherlands, He Will Convey India's Stand: MEA",0.215,0.0,0.785,-0.6249
‘Economic Jihad’: Call for Halal Meat Ban in Karnataka Ahead of Ugadi Festival Sparks Row,0.182,0.162,0.657,-0.1027
Delhi HC Stays Centre's Order on Reallocation of Thermal Power to Haryana,0.0,0.0,1.0,0.0
"Europe Situation Raised Questions on Stability of Int’l Order, Need Focus on Regional Security: PM at BIMSTEC",0.0,0.13,0.87,0.34
"Cross Dissolve: Govt Sets in Motion Merger of Film Bodies, I&B Ministry Issues Integration Orders",0.0,0.0,1.0,0.0
PM-led CCS Approves Procurement of 15 Light Combat Helicopters,0.198,0.223,0.579,0.0772
"Andhra Pradesh: 3-month-old Baby Girl Sold Seven Times; 11 Accused, Including Father, Held",0.155,0.0,0.845,-0.296
MCD Reunification Bill Passed in Lok Sabha; Know What it Proposes & History of Delhi Civic Bodies,0.0,0.0,1.0,0.0
"Liquor Shops to Come Up in Special Zones in Kerala IT Parks, Strict Conditions for Licences",0.0,0.153,0.847,0.4019
"Amit Shah-led High-level Committee Approves Rs 1,887 Cr to 5 Calamity-hit States",0.0,0.213,0.787,0.4019
Guntur Woman Alleges Doctors Swindled Rs 1.20 Lakh for Fake Surgery After Stomach Pain,0.348,0.0,0.652,-0.7506
Fire at Delhi's Ghazipur Dumping Yard Doused After Over 50 Hours,0.343,0.0,0.657,-0.5719
"Heatwave in Parts of West Bengal Over Next 2 Days, Mercury Touches 40 Degrees",0.0,0.0,1.0,0.0
Speeding SUV Mows Down Pedestrian in Central Delhi's Janpath; Accused Held | WATCH,0.167,0.0,0.833,-0.296
Nun Files Appeal in Kerala HC Against Bishop Franco Mulakkal's Acquittal in Rape Case,0.266,0.0,0.734,-0.6908
‘Don't Harass Innocent Doctors’: Rajasthan Medic's Last Words Before Killing Self Over FIR for Patient’s Death,0.414,0.105,0.481,-0.8275
